Date,Open,High,Low,Close,Adj Close,Volume
1977-11-22,3.793914318,3.793914318,3.680850744,3.705976009,1.757886171,287500
1977-11-23,3.743663788,3.793914318,3.743663788,3.781351805,1.793638229,1703400
1977-11-25,3.781351805,3.793914318,3.75622654,3.75622654,1.781721115,501400
1977-11-28,3.75622654,3.793914318,3.75622654,3.781351805,1.793638229,632800
1977-11-29,3.75622654,3.75622654,3.680850744,3.705976009,1.757886171,1235700
1977-11-30,3.705976009,3.705976009,3.655725479,3.668287992,1.740008712,384000
1977-12-01,3.668287992,3.680850744,3.618037462,3.655725479,1.73404932,677600
1977-12-02,3.655725479,3.680850744,3.592912197,3.618037462,1.71617198,638700
1977-12-05,3.618037462,3.630600214,3.567786932,3.592912197,1.70425427,288500
1977-12-06,3.592912197,3.592912197,3.467285872,3.504973888,1.662542462,462600
1977-12-07,3.504973888,3.504973888,3.467285872,3.504973888,1.662542462,595900
1977-12-08,3.504973888,3.504973888,3.429598093,3.454723358,1.63870585,595000
1977-12-09,3.454723358,3.492411137,3.429598093,3.467285872,1.644664884,1038700
1977-12-12,3.467285872,3.479848623,3.391910076,3.429598093,1.626788259,1099400
1977-12-13,3.429598093,3.429598093,3.379347563,3.417035341,1.620829225,207900
1977-12-14,3.417035341,3.442160606,3.391910076,3.442160606,1.632746577,606900
1977-12-15,3.442160606,3.454723358,3.391910076,3.391910076,1.608911395,676500
1977-12-16,3.391910076,3.429598093,3.391910076,3.429598093,1.626788259,293500
1977-12-19,3.429598093,3.429598093,3.379347563,3.417035341,1.620829225,599900
1977-12-20,3.404472828,3.404472828,3.379347563,3.391910076,1.620831847,211900
1977-12-21,3.404472828,3.530099154,3.404472828,3.504973888,1.674860001,1115300
1977-12-22,3.555224419,3.618037462,3.555224419,3.618037462,1.728886962,513400
1977-12-23,3.618037462,3.680850744,3.605474949,3.668287992,1.752900004,196000
1977-12-27,3.668287992,3.680850744,3.618037462,3.668287992,1.752900004,165100
1977-12-28,3.655725479,3.655725479,3.605474949,3.630600214,1.734890819,412900
1977-12-29,3.630600214,3.668287992,3.592912197,3.668287992,1.752900004,159100
1977-12-30,3.668287992,3.693413258,3.643162727,3.680850744,1.75890255,324300
1978-01-03,3.668287992,3.668287992,3.618037462,3.630600214,1.734890819,79500
1978-01-04,3.630600214,3.643162727,3.530099154,3.643162727,1.740893722,260600
1978-01-05,3.643162727,3.75622654,3.643162727,3.643162727,1.740893722,1359100
1978-01-06,3.643162727,3.655725479,3.592912197,3.618037462,1.728886962,101400
1978-01-09,3.618037462,3.630600214,3.580349684,3.592912197,1.716880322,397000
1978-01-10,3.592912197,3.630600214,3.580349684,3.592912197,1.716880322,284500
1978-01-11,3.592912197,3.618037462,3.580349684,3.580349684,1.710877657,939200
1978-01-12,3.580349684,3.618037462,3.530099154,3.530099154,1.68686533,90500
1978-01-13,3.542661667,3.618037462,3.542661667,3.555224419,1.69887197,442700
1978-01-16,3.555224419,3.567786932,3.542661667,3.542661667,1.69286859,130300
1978-01-17,3.542661667,3.567786932,3.542661667,3.542661667,1.69286859,581000
1978-01-18,3.580349684,3.643162727,3.580349684,3.643162727,1.740893722,306400
1978-01-19,3.643162727,3.680850744,3.618037462,3.618037462,1.728886962,325300
1978-01-20,3.605474949,3.605474949,3.555224419,3.555224419,1.69887197,91500
1978-01-23,3.555224419,3.592912197,3.542661667,3.555224419,1.69887197,215900
1978-01-24,3.555224419,3.643162727,3.542661667,3.630600214,1.734890819,481500
1978-01-25,3.630600214,3.680850744,3.580349684,3.643162727,1.740893722,799900
1978-01-26,3.643162727,3.693413258,3.605474949,3.618037462,1.728886962,254700
1978-01-27,3.618037462,3.643162727,3.592912197,3.592912197,1.716880322,241700
1978-01-30,3.592912197,3.655725479,3.580349684,3.655725479,1.746896267,261600
1978-01-31,3.655725479,3.655725479,3.618037462,3.630600214,1.734890819,233800
1978-02-01,3.630600214,3.680850744,3.618037462,3.680850744,1.75890255,67600
1978-02-02,3.680850744,3.705976009,3.655725479,3.680850744,1.75890255,283500
1978-02-03,3.643162727,3.643162727,3.592912197,3.592912197,1.716880322,380000
1978-02-06,3.592912197,3.618037462,3.592912197,3.618037462,1.728886962,36800
1978-02-07,3.618037462,3.618037462,3.580349684,3.605474949,1.722883821,140200
1978-02-08,3.605474949,3.630600214,3.592912197,3.605474949,1.722883821,124300
1978-02-09,3.605474949,3.643162727,3.605474949,3.605474949,1.722883821,221800
1978-02-10,3.618037462,3.668287992,3.618037462,3.643162727,1.740893722,321300
1978-02-13,3.643162727,3.680850744,3.643162727,3.655725479,1.746896267,116400
1978-02-14,3.643162727,3.643162727,3.618037462,3.643162727,1.740893722,180000
1978-02-15,3.643162727,3.655725479,3.630600214,3.643162727,1.740893722,182000
1978-02-16,3.630600214,3.630600214,3.618037462,3.630600214,1.734890819,359100
1978-02-17,3.630600214,3.655725479,3.630600214,3.630600214,1.734890819,146200
1978-02-21,3.630600214,3.630600214,3.592912197,3.618037462,1.728886962,126300
1978-02-22,3.618037462,3.643162727,3.618037462,3.630600214,1.734890819,183000
1978-02-23,3.630600214,3.630600214,3.618037462,3.630600214,1.734890819,241700
1978-02-24,3.630600214,3.668287992,3.618037462,3.668287992,1.752900004,583000
1978-02-27,3.668287992,3.693413258,3.605474949,3.605474949,1.722883821,135300
1978-02-28,3.592912197,3.592912197,3.517536402,3.517536402,1.680862188,499400
1978-03-01,3.517536402,3.580349684,3.517536402,3.580349684,1.710877657,131300
1978-03-02,3.580349684,3.592912197,3.567786932,3.567786932,1.704874873,116400
1978-03-03,3.567786932,3.605474949,3.542661667,3.542661667,1.69286859,125300
1978-03-06,3.542661667,3.567786932,3.530099154,3.530099154,1.68686533,88500
1978-03-07,3.542661667,3.567786932,3.542661667,3.567786932,1.704874873,238700
1978-03-08,3.580349684,3.618037462,3.580349684,3.618037462,1.728886962,324300
1978-03-09,3.618037462,3.618037462,3.592912197,3.618037462,1.728886962,327300
1978-03-10,3.618037462,3.618037462,3.605474949,3.618037462,1.728886962,324300
1978-03-13,3.655725479,3.705976009,3.655725479,3.680850744,1.75890255,225800
1978-03-14,3.680850744,3.781351805,3.655725479,3.781351805,1.806926727,229800
1978-03-15,3.781351805,3.781351805,3.743663788,3.743663788,1.788918138,220800
1978-03-16,3.743663788,3.844164848,3.743663788,3.844164848,1.836941719,295500
1978-03-17,3.844164848,3.869290113,3.819039583,3.844164848,1.836941719,167100
1978-03-20,3.856727362,3.906977892,3.856727362,3.869290113,1.848949313,335300
1978-03-21,3.869290113,3.894415379,3.856727362,3.856727362,1.842944264,418800
1978-03-22,3.856727362,3.906977892,3.844164848,3.906977892,1.866958022,509400
1978-03-23,3.906977892,3.919540644,3.869290113,3.919540644,1.872960448,456600
1978-03-27,3.919540644,3.919540644,3.881852627,3.881852627,1.854951501,357200
1978-03-28,3.881852627,3.881852627,3.844164848,3.856727362,1.854953527,208900
1978-03-29,3.881852627,3.944665909,3.881852627,3.932103157,1.891206622,345200
1978-03-30,3.932103157,3.957228422,3.894415379,3.957228422,1.903291821,142200
1978-03-31,3.957228422,3.957228422,3.906977892,3.919540644,1.885164976,362100
1978-04-03,3.894415379,3.894415379,3.856727362,3.881852627,1.867038131,159100
1978-04-04,3.881852627,3.906977892,3.869290113,3.906977892,1.879122138,366100
1978-04-05,3.906977892,3.944665909,3.894415379,3.919540644,1.885164976,872600
1978-04-06,3.919540644,3.957228422,3.881852627,3.906977892,1.879122138,387000
1978-04-07,3.906977892,3.906977892,3.844164848,3.894415379,1.873078823,237700
1978-04-10,3.894415379,3.919540644,3.894415379,3.919540644,1.885164976,178100
1978-04-11,3.919540644,3.919540644,3.793914318,3.793914318,1.82474196,1179000
1978-04-12,3.831602097,3.856727362,3.831602097,3.844164848,1.848912477,76600
1978-04-13,3.844164848,3.856727362,3.819039583,3.844164848,1.848912477,556100
1978-04-14,3.844164848,3.944665909,3.844164848,3.869290113,1.860995889,2761100
1978-04-17,3.906977892,4.020041466,3.906977892,3.957228422,1.903291821,2029800
1978-04-18,3.982353687,4.120542526,3.982353687,4.057729721,1.951629996,1049700
1978-04-19,4.082854748,4.221043587,4.082854748,4.19591856,2.018091917,2199900
1978-04-20,4.208481312,4.346670151,4.208481312,4.271294117,2.054345846,1611900
1978-04-21,4.271294117,4.296419621,4.208481312,4.271294117,2.054345846,690500
1978-04-24,4.271294117,4.396920681,4.24616909,4.384357929,2.108725548,1189000
1978-04-25,4.48485899,4.58536005,4.48485899,4.522546768,2.175191164,1350200
1978-04-26,4.522546768,4.53510952,4.472296238,4.472296238,2.151021957,671600
1978-04-27,4.459733486,4.459733486,4.396920681,4.396920681,2.114767313,1148200
1978-04-28,4.396920681,4.497421741,4.384357929,4.497421741,2.163105726,555200
1978-05-01,4.497421741,4.560234547,4.472296238,4.522546768,2.175191164,815900
1978-05-02,4.522546768,4.572797298,4.459733486,4.560234547,2.19331789,796900
1978-05-03,4.547672272,4.547672272,4.472296238,4.48485899,2.157062531,705400
1978-05-04,4.459733486,4.459733486,4.371795177,4.447171211,2.13893795,1171100
1978-05-05,4.447171211,4.560234547,4.396920681,4.547672272,2.187274218,661600
1978-05-08,4.547672272,4.58536005,4.472296238,4.472296238,2.151021957,283500
1978-05-09,4.472296238,4.48485899,4.422045708,4.434608459,2.132895231,222800
1978-05-10,4.434608459,4.509984016,4.422045708,4.48485899,2.157062531,225800
1978-05-11,4.48485899,4.497421741,4.447171211,4.497421741,2.163105726,465600
1978-05-12,4.572797298,4.748674393,4.572797298,4.748674393,2.28395009,2051700
1978-05-15,4.748674393,4.861737728,4.685861111,4.861737728,2.338330507,661600
1978-05-16,4.886863232,4.949676514,4.886863232,4.949676514,2.380625725,1148200
